,0,1,2,3,4,5,6,7,8,9,10,Date
0,1:53 PM,"94 
F","63 
F","36 
%",SW,"20 
mph","30 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
1,12:53 AM,"80 
F","69 
F","69 
%",S,"12 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Partly Cloudy,2018-08-05
2,2:53 AM,"80 
F","67 
F","64 
%",SSW,"13 
mph","20 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
3,3:53 AM,"78 
F","67 
F","68 
%",SSW,"9 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
4,4:53 AM,"77 
F","67 
F","71 
%",SSW,"12 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
5,5:53 AM,"77 
F","67 
F","71 
%",SSW,"14 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Partly Cloudy,2018-08-05
6,6:53 AM,"77 
F","67 
F","71 
%",SSW,"12 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
7,7:53 AM,"78 
F","67 
F","68 
%",SSW,"13 
mph","20 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
8,8:53 AM,"77 
F","69 
F","76 
%",SW,"12 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
9,9:53 AM,"80 
F","69 
F","69 
%",SW,"13 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
10,10:53 AM,"84 
F","69 
F","61 
%",SW,"12 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
11,11:53 AM,"89 
F","66 
F","46 
%",SW,"13 
mph","29 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
12,12:53 PM,"91 
F","66 
F","43 
%",S,"14 
mph","23 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
13,1:53 AM,"79 
F","69 
F","72 
%",SSW,"10 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Partly Cloudy,2018-08-05
14,2:53 PM,"95 
F","62 
F","33 
%",SW,"18 
mph","28 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
15,3:53 PM,"94 
F","63 
F","36 
%",SW,"20 
mph","26 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
16,4:53 PM,"93 
F","64 
F","38 
%",SW,"18 
mph","23 
mph","29.3 
in","0.0 
in","0.0 
in",Partly Cloudy,2018-08-05
17,5:53 PM,"93 
F","63 
F","37 
%",SW,"17 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
18,6:53 PM,"90 
F","67 
F","46 
%",SW,"14 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
19,7:53 PM,"88 
F","68 
F","51 
%",WSW,"9 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
20,8:53 PM,"87 
F","69 
F","55 
%",SSW,"10 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-08-05
21,9:53 PM,"85 
F","70 
F","61 
%",SW,"10 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-08-05
22,10:34 PM,"85 
F","69 
F","59 
%",WNW,"12 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",T-Storm,2018-08-05
23,10:53 PM,"78 
F","70 
F","76 
%",WSW,"5 
mph","0 
mph","29.4 
in","0.1 
in","0.0 
in",T-Storm,2018-08-05
24,11:04 PM,"78 
F","70 
F","76 
%",VAR,"3 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-05
25,11:53 PM,"77 
F","69 
F","76 
%",WSW,"6 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-08-05
26,11:53 AM,"75 
F","71 
F","87 
%",E,"9 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
27,12:53 AM,"77 
F","69 
F","76 
%",WSW,"6 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
28,2:53 AM,"78 
F","69 
F","74 
%",S,"6 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
29,3:53 AM,"77 
F","68 
F","74 
%",W,"3 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
30,4:53 AM,"78 
F","68 
F","71 
%",S,"3 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
31,5:32 AM,"77 
F","68 
F","74 
%",NNW,"16 
mph","24 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
32,5:53 AM,"76 
F","65 
F","69 
%",N,"15 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
33,6:21 AM,"76 
F","65 
F","69 
%",N,"6 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-06
34,6:53 AM,"76 
F","65 
F","69 
%",NE,"3 
mph","0 
mph","29.4 
in","0.0 
in","0.1 
in",Mostly Cloudy,2018-08-06
35,7:53 AM,"76 
F","66 
F","71 
%",E,"10 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
36,8:53 AM,"76 
F","67 
F","74 
%",ESE,"7 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
37,9:15 AM,"76 
F","67 
F","74 
%",NNE,"9 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
38,9:53 AM,"74 
F","69 
F","85 
%",N,"14 
mph","0 
mph","29.4 
in","0.1 
in","0.0 
in",Light Rain with Thunder,2018-08-06
39,10:08 AM,"73 
F","70 
F","90 
%",N,"8 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Light Rain with Thunder,2018-08-06
40,10:15 AM,"73 
F","70 
F","90 
%",N,"9 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Light Rain,2018-08-06
41,10:53 AM,"74 
F","71 
F","91 
%",NE,"10 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
42,11:39 AM,"74 
F","70 
F","87 
%",ESE,"10 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
43,1:53 AM,"76 
F","69 
F","79 
%",WSW,"3 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
44,12:33 PM,"77 
F","70 
F","79 
%",ESE,"8 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
45,12:53 PM,"78 
F","70 
F","76 
%",SE,"8 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
46,1:53 PM,"83 
F","73 
F","72 
%",S,"9 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-06
47,2:53 PM,"84 
F","73 
F","69 
%",SW,"10 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-06
48,3:32 PM,"84 
F","72 
F","67 
%",WSW,"6 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-06
49,3:53 PM,"82 
F","72 
F","71 
%",NNE,"10 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-06
50,4:32 PM,"79 
F","71 
F","77 
%",NE,"6 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Light Rain,2018-08-06
51,4:53 PM,"79 
F","71 
F","77 
%",NE,"7 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
52,5:00 PM,"79 
F","71 
F","77 
%",N,"7 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
53,5:53 PM,"80 
F","71 
F","74 
%",NNW,"8 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-06
54,6:53 PM,"81 
F","72 
F","74 
%",NNE,"9 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
55,7:53 PM,"78 
F","71 
F","79 
%",E,"9 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
56,8:53 PM,"76 
F","70 
F","82 
%",E,"5 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
57,9:53 PM,"76 
F","70 
F","82 
%",E,"5 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
58,10:53 PM,"76 
F","70 
F","82 
%",SE,"6 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-08-06
59,11:53 PM,"75 
F","70 
F","84 
%",SSW,"5 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-08-06
